Sample Point;Sample Point Omschrijving;Lambert X;Lambert Y;Waterloop;Bekken;Gemeente;WL code;WL naam
BINL-oDE_AA_330;Waterschap Aa en Maas - Aa vanaf Eeuwselse Loop tot Helmond;;;Onbekend;Onbekend;;ONB;Onbekend
BINL-oDE_AA_680;Waterschap Aa en Maas - Aa van Gemert tot Den Bosch;;;Onbekend;Onbekend;;ONB;Onbekend
BINL-oDIEZE_900;Waterschap Aa en Maas - Dieze;;;Onbekend;Onbekend;;ONB;Onbekend
BINL-oGRAARA100;Waterschap Aa en Maas - Graafse Raam;;;Onbekend;Onbekend;;ONB;Onbekend
BINL-OGRMB900;Waterschap Limburg - Groote Molenbeek;;;Onbekend;Onbekend;;ONB;Onbekend
BINL-oHERTWE690;Waterschap Aa en Maas - Hertogswetering;;;Onbekend;Onbekend;;ONB;Onbekend
BINL-ONEER900;Waterschap Limburg - Neerbeek;;;Onbekend;Onbekend;;ONB;Onbekend
BINL27_240011;Waterschap De Dommel - Boven Dommel;;;Onbekend;Onbekend;;ONB;Onbekend
BINL27_240014;Waterschap De Dommel - Tongelreep;;;Onbekend;Onbekend;;ONB;Onbekend
BINL27_240025;Waterschap De Dommel - Midden- en Beneden Dommel;;;Onbekend;Onbekend;;ONB;Onbekend
BINL27_240116;Waterschap De Dommel - Nieuwe Leij e.a.;;;Onbekend;Onbekend;;ONB;Onbekend
