"VispuntWID ""WaarnemingWID"" ""Datum"" ""VispuntX"" ""VispuntY"" ""geometry"""
128 1124 8240 2010-06-07 85515 181789.01 c(85515, 181789.01)
129 1034 8241 2010-06-11 87437 184166.01 c(87437, 184166.01)
130 1031 8242 2010-06-11 89809 185853.01 c(89809, 185853.01)
131 1098 8243 2010-06-11 92456 186082.01 c(92456, 186082.01)
132 1099 8244 2010-06-10 93969 187123.01 c(93969, 187123.01)
133 1099 8245 2010-06-07 93969 187123.01 c(93969, 187123.01)
134 1094 8247 2010-06-10 99259 191559.01 c(99259, 191559.01)
135 1095 8248 2010-06-10 101851 191462.01 c(101851, 191462.01)
136 1095 8249 2010-06-07 101851 191462.01 c(101851, 191462.01)
137 1112 8250 2010-06-10 81756 177820.01 c(81756, 177820.01)
138 2288 8259 2010-05-27 251238 203475.01 c(251238, 203475.01)
139 2289 8260 2010-05-27 252310 205769.01 c(252310, 205769.01)
140 312 8264 2010-05-21 101973 183221.01 c(101973, 183221.01)
141 320 8265 2010-05-21 99484 182781.01 c(99484, 182781.01)
142 292 8266 2010-05-18 100648 175645.01 c(100648, 175645.01)
143 320 8267 2010-05-18 99484 182781.01 c(99484, 182781.01)
144 314 8270 2010-05-18 100576 178795.01 c(100576, 178795.01)
145 295 8272 2010-05-17 90149 165798.01 c(90149, 165798.01)
146 292 8273 2010-05-21 100648 175645.01 c(100648, 175645.01)
147 314 8274 2010-05-21 100576 178795.01 c(100576, 178795.01)
148 281 8276 2010-05-17 80784 158020.01 c(80784, 158020.01)
149 281 8277 2010-05-18 80784 158020.01 c(80784, 158020.01)
150 305 8279 2010-05-17 87810 164121.01 c(87810, 164121.01)
151 305 8280 2010-05-18 87810 164121.01 c(87810, 164121.01)
152 1138 8287 2010-03-01 84128 176434.01 c(84128, 176434.01)
153 1135 8288 2010-03-01 83396 173903.01 c(83396, 173903.01)
154 1824 8290 2010-09-02 215633 183291.01 c(215633, 183291.01)
155 1824 8291 2010-06-03 215633 183291.01 c(215633, 183291.01)
156 2032 8294 2010-07-01 191947 188714.01 c(191947, 188714.01)
